official_name,entity_type,total_patents,total_citations,notes,raw_variants,cik,form_type,cik_source
Danfoss A/S,Parent,144,15,,danfoss as; danfoss as danfoss intellectual property; danfoss commercial compressors; danfoss micro channel heat exchanger jiaxing co ltd; danfoss power electronics as; danfoss silicon power gmbh; danfoss srl; danfoss tianjin ltd,,,not found
graphcore limited,,139,30,,graphcore limited,,,not found
versum materials us llc,,138,12,,versum materials us llc,,,not found
silicon storage technology inc,,136,82,,silicon storage technology inc,,,not found
toyota motor engineering manufacturing north america inc,,136,74,,toyota motor engineering manufacturing north america inc,,,not found
shinetsu chemical co ltd,,130,17,,shinetsu chemical co ltd,,,not found
powerchip semiconductor manufacturing corporation,,128,18,,powerchip semiconductor manufacturing corporation,,,not found
TDK Corporation,Parent,126,66,,tdk corporation,,,not found
the regents of the university of california,,126,16,,the regents of the university of california,,,not found
fujifilm corporation,,124,15,,fujifilm corporation,,,not found
silicon motion inc,,124,217,,silicon motion inc,,,not found
qorvo us inc,,123,121,,qorvo us inc,,,not found
Nokia Corporation,Subsidiary,122,19,Nokia IP licensing arm,nokia technologies oy,,,not found
trane international inc,,122,9,,trane international inc,,,not found
enkris semiconductor inc,,119,0,,enkris semiconductor inc,,,not found
cambricon technologies corporation limited,,118,108,,cambricon technologies corporation limited,,,not found
ovh,,116,45,,ovh,,,not found
massachusetts institute of technology,,113,181,,massachusetts institute of technology,,,not found
lemon inc,,112,9,,lemon inc,,,not found
shanghai huali integrated circuit corporation,,111,2,,shanghai huali integrated circuit corporation,,,not found
sunrise memory corporation,,111,567,,sunrise memory corporation,,,not found
mahle international gmbh,,109,5,,mahle international gmbh,,,not found
sumitomo electric device innovations inc,,107,12,,sumitomo electric device innovations inc,,,not found
hrl laboratories llc,,104,104,,hrl laboratories llc,,,not found
johnson controls technology company,,103,137,,johnson controls technology company,,,not found
shanghai cambricon information technology co ltd,,102,21,,shanghai cambricon information technology co ltd,,,not found
altera corporation,,101,36,,altera corporation,,,not found
disco corporation,,101,22,,disco corporation,,,not found
unimicron technology corp,,101,20,,unimicron technology corp,,,not found
realtek semiconductor corporation,,98,5,,realtek semiconductor corporation,,,not found
research business foundation sungkyunkwan university,,98,9,,research business foundation sungkyunkwan university,,,not found
asia vital components co ltd,,96,17,,asia vital components co ltd,,,not found
powertech technology inc,,96,28,,powertech technology inc,,,not found
"Samsung Display Co., Ltd.",Samsung subsidiary,96,15,100% Samsung Electronics; display panels,samsung display co ltd,,,not found
perceive corporation,,95,167,,perceive corporation,,,not found
mirise technologies corporation,,94,0,,mirise technologies corporation,,,not found
Realtek Semiconductor Corp.,Duplicate,93,21,Name variant,realtek semiconductor corp,,,not found
abb schweiz ag,,92,14,,abb schweiz ag,,,not found
tsinghua university,,92,24,,tsinghua university,,,not found
atombeam technologies inc,,88,10,,atombeam technologies inc,,,not found
ememory technology inc,,88,11,,ememory technology inc,,,not found
Fraunhofer-Gesellschaft,Parent,88,6,Encoding variant,fraunhofergesellschaft zur foerderung der angewandten forschung ev; fraunhofergesellschaft zur förderung der angewandten forschung ev,,,not found
hon hai precision industry co ltd,,87,11,,hon hai precision industry co ltd,,,not found
zeno semiconductor inc,,87,2587,,zeno semiconductor inc,,,not found
beijing sensetime technology development co ltd,,86,23,,beijing sensetime technology development co ltd,,,not found
nokia solutions and networks oy,,83,12,,nokia solutions and networks oy,,,not found
toyota research institute inc,,83,17,,toyota research institute inc,,,not found
inspur suzhou intelligent technology co ltd,,82,1,,inspur suzhou intelligent technology co ltd,,,not found
kia corporation,,82,6,,kia corporation,,,not found
ntt inc,,81,0,,ntt inc,,,not found
purdue research foundation,,81,39,,purdue research foundation,,,not found
icometrue company ltd,,79,102,,icometrue company ltd,,,not found
stradvision inc,,79,350,,stradvision inc,,,not found
shindengen electric manufacturing co ltd,,78,10,,shindengen electric manufacturing co ltd,,,not found
the boeing company,,78,16,,the boeing company,,,not found
verizon patent and licensing inc,,78,12,,verizon patent and licensing inc,,,not found
psemi corporation,,77,155,,psemi corporation,,,not found
vertiv corporation,,77,8,,vertiv corporation,,,not found
"Wuhan Xinxin Semiconductor Manufacturing Co., Ltd.",Parent,77,10,,wuhan xinxin semiconductor manufacturing co ltd,,,not found
globalwafers co ltd,,76,7,,globalwafers co ltd,,,not found
furukawa electric co ltd,,75,32,,furukawa electric co ltd,,,not found
nidec corporation,,75,20,,nidec corporation,,,not found
fulian precision electronics tianjin co ltd,,73,7,,fulian precision electronics tianjin co ltd,,,not found
seiko epson corporation,,72,10,,seiko epson corporation,,,not found
unisantis electronics singapore pte ltd,,72,35,,unisantis electronics singapore pte ltd,,,not found
ford global technologies llc,,70,59,,ford global technologies llc,,,not found
d5ai llc,,69,197,,d5ai llc,,,not found
dai nippon printing co ltd,,69,13,,dai nippon printing co ltd,,,not found
hanon systems,,69,3,,hanon systems,,,not found
korea university research and business foundation,,69,7,,korea university research and business foundation,,,not found
lapis semiconductor co ltd,,69,9,,lapis semiconductor co ltd,,,not found
rebellions inc,,68,7,,rebellions inc,,,not found
guangdong oppo mobile telecommunications corp ltd,,67,1,,guangdong oppo mobile telecommunications corp ltd,,,not found
walmart apollo llc,,67,3,,walmart apollo llc,,,not found
